0,cpu,5,4,2
1,cpu,4,4,3
2,vm,2,5,3
3,cpu,2,4,7
4,cpu,1,4,10
5,cpu,5,3,15
6,vm,3,3,16
7,vm,2,2,20
8,cpu,4,1,20
9,cpu,2,5,22
10,cpu,1,2,23
11,vm,3,5,24
12,vm,4,3,24
13,cpu,2,1,30
14,cpu,1,1,31
15,vm,3,4,37
16,vm,3,1,41
17,vm,3,1,41
18,cpu,5,5,41
19,cpu,1,5,44
20,vm,4,1,49
21,vm,1,5,50
22,cpu,5,3,53
23,vm,2,1,54
24,cpu,1,2,55
25,cpu,1,2,60
26,cpu,3,5,60
27,vm,1,1,62
28,cpu,1,2,64
29,vm,3,5,65
30,cpu,3,5,65
31,vm,3,5,68
32,cpu,5,3,70
33,cpu,3,4,70
34,cpu,5,4,71
35,cpu,1,3,72
36,vm,4,4,78
37,cpu,5,3,78
38,vm,2,3,79
39,vm,3,2,85
40,vm,3,1,85
41,vm,4,3,85
42,cpu,3,3,89
43,cpu,1,5,91
44,vm,1,3,91
45,cpu,1,3,92
46,cpu,5,3,94
47,cpu,3,5,94
48,vm,2,3,96
49,vm,3,2,98
50,cpu,4,2,99
51,cpu,3,3,100
52,cpu,2,3,103
53,vm,3,1,104
54,cpu,2,2,106
55,vm,5,5,107
56,vm,5,4,108
57,vm,5,1,114
58,vm,5,4,116
59,cpu,3,5,116
60,cpu,1,2,116
61,vm,4,2,119
62,vm,3,3,122
63,vm,3,2,122
64,vm,2,5,125
65,vm,3,4,126
66,vm,5,3,127
67,vm,4,1,127
68,vm,2,1,127
69,cpu,3,4,128
70,vm,5,5,128
71,cpu,5,3,130
72,cpu,3,4,130
73,cpu,5,1,132
74,vm,1,2,134
75,vm,1,5,136
76,vm,3,1,136
77,vm,2,5,140
78,vm,5,1,140
79,vm,5,2,143
80,cpu,2,3,146
81,cpu,4,5,146
82,cpu,1,1,154
83,vm,4,3,154
84,cpu,1,5,158
85,vm,5,5,158
86,vm,1,2,159
87,vm,5,2,161
88,cpu,5,4,161
89,vm,4,3,164
90,cpu,4,1,165
91,vm,3,3,166
92,vm,3,5,166
93,vm,4,2,167
94,cpu,2,1,167
95,cpu,5,5,173
96,cpu,4,4,176
97,vm,4,5,177
98,cpu,2,4,181
99,vm,3,3,182
100,vm,4,5,185
101,cpu,4,2,187
102,cpu,3,1,188
103,cpu,1,3,191
104,vm,1,3,195
105,vm,1,1,200
106,vm,5,1,202
107,vm,5,3,203
108,vm,4,1,204
109,vm,3,2,206
110,cpu,1,1,207
111,cpu,1,2,209
112,cpu,3,1,210
113,vm,1,1,213
114,cpu,5,3,218
115,cpu,2,5,219
116,vm,2,4,220
117,vm,4,1,220
118,cpu,3,3,222
119,vm,1,2,224
120,vm,1,5,224
121,cpu,2,5,225
122,vm,4,3,228
123,vm,1,2,234
124,cpu,4,5,236
125,cpu,2,3,238
126,cpu,2,4,238
127,vm,5,1,240
128,cpu,4,3,240
129,cpu,3,1,243
130,cpu,1,4,245
131,vm,1,3,248
132,cpu,3,5,249
133,vm,3,4,254
134,vm,2,1,254
135,cpu,5,4,257
136,vm,1,1,259
137,cpu,2,2,260
138,cpu,4,5,260
139,vm,1,3,262
140,vm,4,4,268
141,cpu,5,3,270
142,vm,3,2,270
143,cpu,5,5,271
144,vm,2,2,273
145,vm,2,5,274
146,vm,4,3,276
147,cpu,2,2,276
148,cpu,3,2,280
149,vm,3,4,281
150,vm,2,1,284
151,vm,1,3,287
152,cpu,3,5,290
153,cpu,5,2,291
154,vm,3,1,293
155,vm,1,3,297
156,vm,2,4,298
157,cpu,4,5,306
158,cpu,5,3,309
159,cpu,1,4,311
160,vm,4,4,312
161,cpu,2,3,314
162,vm,2,1,315
163,cpu,2,4,315
164,cpu,1,4,317
165,cpu,5,5,318
166,cpu,3,3,322
167,vm,3,4,323
168,cpu,5,3,323
169,vm,4,1,326
170,cpu,5,5,327
171,vm,3,2,327
172,cpu,5,1,328
173,vm,2,2,328
174,vm,5,5,329
175,vm,3,1,330
176,cpu,1,4,331
177,vm,2,5,333
178,vm,1,3,334
179,cpu,2,4,334
180,vm,4,2,336
181,vm,3,5,336
182,vm,4,1,339
183,cpu,1,4,345
184,cpu,1,3,347
185,vm,4,3,349
186,cpu,3,4,349
187,vm,4,1,350
188,cpu,2,1,352
189,vm,4,5,353
190,cpu,4,4,354
191,vm,4,3,355
192,cpu,3,1,359
193,cpu,5,3,361
194,vm,3,3,362
195,cpu,2,2,367
196,cpu,1,1,369
197,cpu,5,5,373
198,vm,1,4,374
199,cpu,5,4,374
200,vm,3,1,376
201,vm,4,4,377
202,cpu,1,3,378
203,vm,5,2,380
204,vm,3,2,381
205,cpu,3,3,381
206,vm,1,3,382
207,cpu,1,5,384
208,vm,5,3,385
209,cpu,4,2,388
210,cpu,1,2,391
211,vm,3,4,392
212,vm,4,4,393
213,vm,4,2,394
214,vm,3,3,395
215,vm,5,3,396
216,cpu,5,4,399
217,cpu,3,1,401
218,cpu,3,5,401
219,cpu,2,1,401
220,vm,5,4,406
221,cpu,2,5,406
222,vm,1,4,407
223,vm,4,1,410
224,vm,5,3,412
225,cpu,3,1,415
226,vm,4,2,416
227,cpu,5,3,416
228,cpu,2,2,419
229,cpu,5,5,421
230,cpu,2,2,421
231,vm,2,3,424
232,vm,3,2,430
233,vm,3,5,432
234,cpu,2,3,433
235,cpu,5,3,436
236,vm,3,2,436
237,cpu,4,2,437
238,cpu,4,2,441
239,cpu,3,5,442
240,vm,4,5,443
241,cpu,4,1,445
242,cpu,5,5,449
243,vm,4,1,450
244,vm,1,1,450
245,cpu,3,1,451
246,cpu,4,4,451
247,cpu,3,5,452
248,vm,3,5,452
249,cpu,5,2,454
250,vm,4,1,454
251,cpu,2,1,456
252,vm,5,3,459
253,cpu,3,3,461
254,vm,4,2,465
255,cpu,4,2,471
256,vm,2,1,471
257,cpu,1,1,472
258,cpu,3,2,472
259,cpu,5,4,476
260,vm,3,5,480
261,vm,4,2,481
262,cpu,1,3,483
263,vm,5,2,487
264,vm,3,4,488
265,vm,3,1,490
266,vm,1,3,491
267,cpu,1,2,493
268,cpu,4,1,494
269,vm,5,2,494
270,cpu,2,3,495
271,vm,2,1,496
272,vm,5,4,496
273,cpu,5,5,501
274,vm,5,1,504
275,vm,5,3,514
276,cpu,4,1,516
277,cpu,2,1,518
278,vm,1,5,519
279,vm,4,5,521
280,vm,1,4,521
281,vm,5,2,522
282,vm,2,4,522
283,cpu,3,3,522
284,vm,5,2,523
285,vm,3,3,525
286,vm,1,3,526
287,cpu,5,4,526
288,cpu,5,5,527
289,cpu,3,2,532
290,cpu,5,4,536
291,vm,1,1,540
292,vm,4,3,541
293,cpu,2,5,542
294,vm,2,4,546
295,cpu,2,2,546
296,vm,2,3,549
297,cpu,3,4,550
298,cpu,3,4,552
299,vm,3,3,553
300,cpu,1,3,553
301,cpu,1,2,554
302,cpu,1,1,557
303,cpu,2,2,559
304,cpu,5,4,559
305,cpu,2,2,562
306,vm,3,3,565
307,cpu,5,2,567
308,cpu,5,5,568
309,cpu,2,1,569
310,cpu,5,5,570
311,cpu,2,2,570
312,vm,4,1,570
313,vm,1,2,571
314,vm,3,1,575
315,vm,5,1,579
316,vm,5,2,580
317,vm,5,5,580
318,cpu,5,5,581
319,vm,4,4,584
320,vm,4,1,589
321,cpu,3,5,596
322,cpu,2,3,596
323,vm,2,2,597
324,cpu,1,3,603
325,cpu,4,2,604
326,cpu,2,4,609
327,vm,3,4,609
328,vm,4,3,610
329,cpu,4,2,611
330,vm,3,4,615
331,cpu,3,3,616
332,vm,1,1,617
333,cpu,3,2,618
334,vm,1,2,618
335,cpu,1,1,618
336,vm,1,1,620
337,cpu,2,3,621
338,vm,3,5,625
339,cpu,1,1,626
340,vm,5,5,626
341,cpu,5,2,629
342,vm,5,4,633
343,cpu,3,3,636
344,cpu,5,1,638
345,cpu,5,3,642
